問題ID,問題,答え,読み,復習フラグ
386,アルバムや手帳などを贈るとよいとされる、結婚1年目の記念日のことを「何婚式」というでしょう？,紙婚式,かみ,0
387,オリンピックのカヌー競技で使われる2種類のカヌーとは、カナディアンカヌーとあと1つは何でしょう？,カヤック,カヤック,0
388,お笑いコンテスト『R-1ぐらんぷり2017』で優勝した、お盆を持った芸で知られるピン芸人は誰でしょう？,アキラ100％,アキラ100パーセント,0
389,かぜ薬の「ストナ」や栄養ドリンクの「ユンケル黄帝液」を販売する製薬会社は何でしょう？,佐藤製薬,さとう,0
390,グラフ理論において、グラフ上の全ての辺を一度だけ通るような路のことを、これを用いて「ケーニヒスベルクの橋」問題を解決した数学者の名から何路というでしょう？,オイラー路,オイラー,0
391,これまでに『+』『x』『÷』といったタイトルのアルバムをリリースしている、イギリスのシンガーソングライターは誰でしょう？,エド・シーラン,エドシーラン,0
392,ご飯の上にハンバーグと目玉焼きを載せ、グレービーソースをかけて食べる、ハワイ発祥の料理は何でしょう？,ロコモコ,ロコモコ,0
393,パータリプトラを首都とし、チャンドラグプタ1世によって320年に創始されてから約2世紀にわたって栄えた、仏教美術やサンスクリット文学が発達しインド古典文化の黄金時代ともいわれる、北インドの統一王朝は何でしょう？,グプタ朝,グプタ,0
394,パンゲア大陸の南半分に相当し、現在ある南半球の各大陸やアラビア半島、インド半島などの元となったと考えられている、かつての地球に存在したとされる巨大な大陸を何大陸というでしょう？,ゴンドワナ大陸,ゴンドワナ,0
395,フィンスイミングなどで日本代表に選ばれた経験を持つ、お笑いコンビ「オードリー」でボケを担当するお笑い芸人は誰でしょう？,春日俊彰,かすがとしあき,0
396,フグの中でも最も美味しいとされることから「フグの王様」とも呼ばれる、胸びれの近くに黒い斑点模様を持つフグの一種を和名で何というでしょう？,トラフグ,トラフグ,0
397,フランクフルトからライプツィヒまで約400kmを結ぶ、あるドイツの文豪の足跡をたどる街道を「何街道」というでしょう？,ゲーテ街道,ゲーテ,0
398,ミャンマーの女性が化粧や日焼け防止のために伝統的に用いてきた、あるミカン科の樹木を原料とする天然の化粧品を、その木の呼称から何というでしょう？,タナカ,タナカ,0
399,ミルフィーユの一種「ナポレオン・パイ」とは、主に何という果実を使ったミルフィーユのことでしょう？,イチゴ,イチゴ,0
400,一般的に、情報量の単位「1バイト」は何ビットでしょう？,8ビット,8,0
401,英語では「ポタシウム」という、原子番号19、元素記号Kの元素は何でしょう？,カリウム,カリウム,0
402,画家ゴッホの絵画『アルルの跳ね橋』に描かれている、アルルの運河に架かっていた跳ね橋の名前は何橋でしょう？,ラングロワ橋,ラングロワ,0
403,梶井基次郎の短編小説『櫻の樹の下には』で、主人公が桜の樹の下に埋まっていると想像しているものは何でしょう？,屍体,したい,0
404,慣用句で、弱者が自らの実力を顧みずに強者に刃向かうことを、ある昆虫を用いて「何の斧」というでしょう？,蟷螂の斧,とうろう,0
405,慣用句で「人を食わんとして却って人に食わる」といわれたり、一度噛みつくと「雷が鳴っても離さない」といわれたり、「月」と比べられたりする生き物といえば何でしょう？,すっぽん,すっぽん,0
406,嬉しそうにニコニコしている顔のことを、ある七福神の名前を取って「何顔」というでしょう？,えびす顔,えびす,0
407,金属元素の中で、単体での融点が最も低く常温・常圧で液体となる、原子番号80、元素記号Hgの元素は何でしょう？,水銀,すいぎん,0
408,形式上は独立しているものの、実際は別の支配者によって事実上管理・統制されている政権を、「操り人形」を意味する二字熟語を使って何政権というでしょう？,傀儡政権,かいらい,0
409,元々は婦人服の胴部分を意味するフランス語で、日本では主に女性が洋服の胸元や肩、帽子などにつける小さな花束の飾りのことを指す言葉は何でしょう？,コサージュ,コサージュ,0
410,原題を『Wuthering Heights』という、青年ヒースクリフの愛と復讐を描いたエミリー・ブロンテの長編小説は何でしょう？,『嵐が丘』,あらしがおか,0
411,弦楽四重奏を構成する楽器のうち、唯一複数使用される楽器は何でしょう？,バイオリン,バイオリン,0
412,現在のルーマニア付近にあたるダキア地方の人々が古代に用いていたことに由来する、西洋式の短剣のことを指す英語の呼び名は何でしょう？,ダガー,ダガー,0
413,現在までに夏季オリンピックが唯一3度開催された都市はどこでしょう？,ロンドン,ロンドン,0
414,古代ギリシャの都市国家において、アクロポリスのふもとに設けられ、市民の集会や裁判、取引などの場として使われた広場をギリシャ語で何というでしょう？,アゴラ,アゴラ,0
415,妻は歌手の彭麗媛である、2013年3月から中国の第7代国家主席を務めている政治家は誰でしょう？,習近平,しゅうきんぺい,0
416,雑誌『ふらんす』の刊行や、岸田國士戯曲賞の主催などを行っている日本の出版社はどこでしょう？,白水社,はくすいしゃ,0
417,自動車などの販売業者、為替などの取引業者、カジノのスタッフ、麻薬の密売人に共通する英語由来の呼び名は何でしょう？,ディーラー,ディーラー,0
418,首なし馬が牽く「コシュタ・バワー」という馬車に乗ってくるという、アイルランドの伝説に登場する首のない騎士の妖精を何というでしょう？,デュラハン,デュラハン,0
419,秋頃に行う「高鳴き」や、捕らえた獲物を枝などに突き刺しておく「はやにえ」といった習性がある、漢字では「百舌」などと書かれる鳥といえば何でしょう？,モズ,モズ,0
420,小説『D坂の殺人事件』で初めて登場した、少年探偵団との師弟関係や怪人二十面相とのライバル関係で名高い、作家・江戸川乱歩が生んだ名探偵といえば誰でしょう？,明智小五郎,あけちこごろう,0
421,数学者フィボナッチの出身地であるイタリアの都市で、世界的には「斜塔」の通称を持つ大聖堂の鐘楼が知られているのはどこでしょう？,ピサ,ピサ,0
422,世界最北の地下鉄が走ることで知られる、フィンランドの首都はどこでしょう？,ヘルシンキ,ヘルシンキ,0
423,体にいくつか黒い斑点があることから「ナナツボシ」の別名を持つイワシの一種は何でしょう？,マイワシ,マイワシ,0
424,男性アイドルグループ・TOKIOのメンバーのうち、最も年下であるのは誰でしょう？,長瀬智也,ながせともや,0
425,動物、植物と両方の性質を合わせ持ち、「ユーグレナ」の別名でも知られる生き物は何でしょう？,ミドリムシ,ミドリムシ,0
426,動物園や水族館などの施設において、普段は入れない関係者以外立ち入り禁止の場所を見学することができるツアーのことを、「裏庭」という意味の英語で「何ツアー」というでしょう？,バックヤードツアー,バックヤード,0
427,動物福祉の観点からヨーロッパなどでは禁止されており、代わりに使われる「エンリッチドケージ」などに対して「伝統型ケージ」とも呼ばれている、卵の生産性を上げるために多数の密集した檻の中に鶏を入れる飼育ケージのことを英語で何というでしょう？,バタリーケージ,バタリー,0
428,日本において、夫婦が話し合いをしてお互いに合意することにより行われる離婚の方法を「何離婚」というでしょう？,協議離婚,きょうぎ,0
429,日本のプロ野球で、日本シリーズ進出をかけてセ・パ両リーグのシーズン上位各3チームが行うプレーオフを「何シリーズ」というでしょう？,クライマックスシリーズ,クライマックス,0
430,日本語で「消費者物価指数」と呼ばれる経済統計の一種を、アルファベット3文字の略称で何というでしょう？,CPI,CPI,0
431,日本語では「仕事と生活の調和」と訳される、やりがいをもって仕事をしつつ私生活も充実させるという考え方のことを英語で「何・バランス」というでしょう？,ワーク・ライフ・バランス,ワークライフ,0
432,不意の出来事などにあわててうろたえることを、けものへんの漢字2字からなる熟語で何というでしょう？,狼狽,ろうばい,0
433,不動明王が背負っている炎を、仏教の鳥頭人身の神の名前から何というでしょう？,迦楼羅炎,かるらえん,0
434,本名をシャルル・ド・バツ＝カステルモールという、17世紀に実在したフランス貴族の軍人で、デュマの小説『三銃士』などで主人公として架空の活躍が描かれ、後世に名を残すこととなった人物を通称何と呼ぶでしょう？,ダルタニャン,ダルタニャン,0
435,腕を下から振り上げ、その反動を利用して前方に振り戻して投げるソフトボールの投法のことを、ゴムのパチンコの動きに似ていることから何というでしょう？,スリングショット,スリングショット,0
436,諡号で「帝辛」とも呼ばれ、妲己という愛人に溺れたり、「酒池肉林」と呼ばれる豪勢な宴会を行ったりした悪辣な王として後世に伝えられている、古代中国・殷の最後の王を一般的に何王というでしょう？,紂王,ちゅう,0
437,「これを知らずに碁を打つな」という格言もある、囲碁でアタリをかけ続けることで最終的に相手の石を取れる状態にする手筋を何というでしょう？,シチョウ,シチョウ,0
438,「ホレブ山」とも呼ばれる、旧約聖書においてモーセが神から十戒を授かった場所として登場する山の名前は何山でしょう？,シナイ山,シナイ,0
439,「春が二階から落ちてきた。」という書き出しで始まる、仙台の街で起こる連続放火事件を題材とした伊坂幸太郎の小説は何でしょう？,『重力ピエロ』,じゅうりょくピエロ,0
440,1881年にドイツの解剖学者ハインリヒ・ワルダイエルによって造語された、細胞・樹状突起・軸索からなる神経系の基本単位のことを指すギリシャ語起源の言葉は何でしょう？,ニューロン,ニューロン,0
441,1970年にスイスの生物学者ヘルマン・ブラントが妨害のない平和的なスポーツとして考案した、攻撃側がネットにボールを投げ、守備側にノーバウンドでキャッチされなければ得点となる球技は何でしょう？,チュックボール,チュックボール,0
442,1987年には『アンタッチャブル』の音楽でグラミー賞を受賞している、『ニュー・シネマ・パラダイス』など数々の映画で音楽を担当したイタリアの作曲家は誰でしょう？,エンニオ・モリコーネ,モリコーネ,0
443,1998年4月に記録した「4試合連続ハットトリック」が長らくギネス認定の世界記録であった、日本のサッカー選手は誰でしょう？,中山雅史,なかやままさし,0
444,2020年12月31日をもって活動休止を予定している、大野智がリーダーを務めるジャニーズ事務所所属のアイドルグループは何でしょう？,嵐,あらし,0
445,939年に藤原純友の乱を追捕使として鎮圧した平安時代の公卿で、弟に「三蹟」の1人に数えられる道風がいるのは誰でしょう？,小野好古,おののよしふる,0
446,JRAの競馬場のうち、「皐月賞」や「有馬記念」といったレースが行われるのは何競馬場でしょう？,中山競馬場,なかやま,0
447,JR山陽新幹線は、新大阪駅と何駅を結ぶ路線でしょう？,博多駅,はかた,0
448,アルファベット3文字で「ASD」とも略される、「対人関係が苦手」「強いこだわり」といった特徴を持つ発達障がいの一種を日本語で何というでしょう？,自閉症スペクトラム障害,じへいしょうスペクトラム,0
449,オオカミが寝る際、下に敷かれた草が荒らされることに由来するという言葉で、ものが乱雑に散らかっている様子や、乱暴な振る舞いをすることを漢字2文字で何というでしょう？,狼藉,ろうぜき,0
450,かつての日本の華族制度で、伯爵と男爵の間にあたる階級は何でしょう？,子爵,ししゃく,0
451,クリケットとホッケーを日本に初めて紹介したことや、日本女子体育大学を創設した業績で知られ、「女子体育の母」と称される教育者は誰でしょう？,二階堂トクヨ,にかいどうトクヨ,0
452,コーポレート・ステートメントは「未来創発－Dream up the future.」で、「NRI」の略称でも知られる、日本最大手のシンクタンクといえば「何総合研究所」でしょう？,野村総合研究所,のむら,0
453,スクリュードライバーやジントニックなどが代表的な、時間をかけてゆっくり飲むカクテルを特に「何ドリンク」というでしょう？,ロングドリンク,ロング,0
454,スペイン語では「アルマダ・インベンシプレ」という、1588年のアルマダの海戦でイングランドへ侵攻したスペイン海軍の艦隊のことを日本語で一般に何と呼ぶでしょう？,無敵艦隊,むてきかんたい,0
455,ノーベル平和賞も受賞した「国境なき医師団」のことを、アルファベット3文字の略称で何というでしょう？,MSF,MSF,0
456,ノコギリなどの切れ味の悪くなった刃を研いで鋭くすることを、ある体の一部を表す漢字を使って何というでしょう？,目立て,めたて,0
457,ハードディスクなどの記憶装置において、ファイルの断片化を解消することを何というでしょう？,デフラグ,デフラグ,0
458,パチンコ用語で、玉が釘などに引っかかって動かなくなり、そこに複数の玉が折り重なって玉詰まりを起こしてしまうことを、ある果物にたとえて何というでしょう？,ぶどう,ぶどう,0
459,ファッション用語で、「渋カジ」や「アメカジ」という時の「カジ」とは何という言葉の略でしょう？,カジュアル,カジュアル,0
460,マティーニやギムレットなどが代表的な、分量が少なく、短い時間で飲み干すことに適したカクテルを特に「何ドリンク」というでしょう？,ショートドリンク,ショート,0
461,一般には10頭前後のメスと、1～2頭のオスで構成される、ライオンの群れのことを指す英語は何でしょう？,プライド,プライド,0
462,映画『荒野の決闘』の主題歌になっており、日本では西堀榮三郎が作詞した『雪山讃歌』のメロディーとして広く知られている、アメリカの西部開拓時代に生まれた民謡は何でしょう？,『いとしのクレメンタイン』,いとしのクレメンタイン,0
463,英語では「alopecia areata」という自己免疫疾患の一種で、俗に「十円ハゲ」と呼ばれる部分的に髪の毛が抜けてしまう病気は何でしょう？,円形脱毛症,えんけいだつもうしょう,0
464,英語では「婚期を逃した未婚の女性」という意味の「old maid」と呼ばれる、トランプゲームの一種は何でしょう？,ババ抜き,ババぬき,0
465,河童に相撲で負けたり、水中に引き込まれたりすると抜かれてしまうという伝承がある、かつて人間の肛門内にあると考えられていた架空の臓器は何でしょう？,尻子玉,しりこだま,0
466,環境省自然保護局長通知によって一般に定められたものの他、泉質や含水成分に応じて定められる、温泉に入浴することで悪化する可能性があるため、入浴を控えなければならない病気や症状のことを、漢字3文字で何症というでしょう？,禁忌症,きんき,0
467,宮田聡や瀬藤象二が発明した、アルミニウム製品の表面に人工的に酸化被膜を作り、錆びから守り強度を高める加工を何というでしょう？,アルマイト,アルマイト,0
468,金融商品取引法上では「開示用電子情報処理組織」と呼ばれる、有価証券報告書などの企業からの提出書類をインターネット上で誰でも閲覧できるシステムを、アルファベット6文字で何というでしょう？,EDINET,EDINET,0
469,元々は1967年に発売された高級鉛筆のノベルティとして入れられたものだった、青・白・黒のストライプのスリーブが印象的な、トンボ鉛筆の消しゴムのブランドは何でしょう？,MONO消しゴム,モノ,0
470,自動車教習所で受ける教習を大きく2つに分けると、運転技術を習得する「技能教習」と、教室で知識を学ぶ「何教習」でしょう？,学科教習,がっか,0
471,自動車教習所で受ける教習を大きく2つに分けると、教室で知識を学ぶ「学科教習」と、運転技術を習得する「何教習」でしょう？,技能教習,ぎのう,0
472,儒教において「五常」に数えられる5つの徳目といえば、「仁」「義」「礼」「智」とあと1つは何でしょう？,信,しん,0
473,初代市川猿之助の生家が副業として薬屋を商なっていたことに由来するとされる、歌舞伎役者の屋号の1つは何でしょう？,澤瀉屋,おもだかや,0
474,西アフリカに生息するネズミの一種マストミスを自然宿主とするウイルスによって引き起こされる、感染症法における一類感染症に指定されている出血熱を、1969年に最初に発症が見られた村の名から何熱というでしょう？,ラッサ熱,ラッサ,0
475,俗に「角な座敷を丸く掃き」や「三杯目にはそっと出し」といわれるのはどのような人でしょう？,居候,いそうろう,0
476,駄菓子の定番である「ヤングドーナツ」を製造・販売している、岐阜県に本社を置く製菓会社は何でしょう？,宮田製菓,みやた,0
477,逮捕直後の容疑者の風貌を警察が撮影した写真のことを、「顔」を意味する英語の俗語を用いて「何ショット」というでしょう？,マグショット,マグ,0
478,著書に『晩年の父』『不遇の人 鴎外 日本語のモラルと美』といった父・森鴎外にまつわる随筆や小説などがある、鴎外の次女にあたる作家は誰でしょう？,小堀杏奴,こぼりあんぬ,0
479,副題を「～親愛なる子供たちへ～」という樋口了一の楽曲と、副題を「～拝啓 十五の君へ～」というアンジェラ・アキの楽曲に共通するタイトルは何でしょう？,『手紙』,てがみ,0
480,立ち食いそば屋では高く、高級料亭では低くなる傾向にある、飲食店などで1日にどれだけの客をさばけるかの割合のことを漢字3文字で何というでしょう？,回転率,かいてんりつ,0
481,「キャパシタ」や「蓄電器」とも呼ばれ、電気回路で電荷を蓄える役割を持つ、空気や誘電体を挟んで2枚の金属板を並べたような構造を基本とする電子部品は何でしょう？,コンデンサ,コンデンサ,0
482,「プラズマクラスター」を商標登録している、日本の家電メーカーは何でしょう？,シャープ,シャープ,0
483,「客風牌」と呼ばれることもある、麻雀において、場風にも自風にもならない風牌を普通何というでしょう？,オタ風,オタかぜ,0
484,『兵法三十六計』の34番目の戦術に由来する、現在は苦し紛れに編み出した手段といった意味で使われる言葉は「何の策」でしょう？,苦肉の策,くにく,0
485,『夢ノカケラ・・・』や『secret base ～君がくれたもの～』などの代表曲があり、元メンバーにMIYUやMAIKOなどがいた、2013年まで活動していたガールズバンドは何でしょう？,ZONE,ゾーン,0
486,1762年に江戸市村座で初演された、白鷺の精が若い女性に化けて恋に悩む振りを見せ、最後に地獄に落ちて苦しむさまを演じる、歌舞伎舞踊の演目は何でしょう？,『鷺娘』,さぎむすめ,0
487,1823年、エリスという少年がフットボールのルールを勘違いしたことをきっかけに生まれたスポーツに名を残す、イギリスのパブリックスクールの1つは「何校」でしょう？,ラグビー校,ラグビー,0
488,1914年にヘンリー・ハレット・デールによって発見され、オットー・レーヴィによって神経伝達物質であることが示された、運動神経や副交感神経で刺激を伝達する物質として働く有機化合物は何でしょう？,アセチルコリン,アセチルコリン,0
489,1932年のロサンゼルスオリンピック男子陸上100mで東洋人初の6位入賞を果たし、「暁の超特急」と称された日本の陸上選手は誰でしょう？,吉岡隆徳,よしおかたかよし,0
490,1936年のベルリンオリンピックで大江季男とともに男子棒高跳びに出場して2位・3位を分け合い、帰国後に互いのメダルを分割・接合して「友情のメダル」を作製した、元陸上選手は誰でしょう？,西田周平,にしだしゅうへい,0
491,オオミズナギドリの北限の繁殖地として日本の天然記念物に指定されている、北海道の松前町に属する日本最大の無人島は何でしょう？,渡島大島,おしまおおしま,0
492,かつての日本の華族制度で、侯爵と子爵の間にあたる階級は何でしょう？,伯爵,はくしゃく,0
493,クラシックギターの奏法で、弦を弾いたあとの指をそのまま空中で止める弾き方を、「空中に」という意味のスペイン語で何奏法というでしょう？,アルアイレ奏法,アルアイレ,0
494,その庶民的な姿から「桃太郎知事」として親しまれた岡山県の政治家で、1964年には日本人として初めてマグサイサイ賞を受賞したのは誰でしょう？,三木行治,みきゆきはる,0
495,その背番号「5」はニューヨーク・ヤンキースの永久欠番になっている、女優マリリン・モンローと結婚したことでも知られるアメリカの元プロ野球選手は誰でしょう？,ジョー・ディマジオ,ジョーディマジオ,0
496,ティッシュペーパーの「鼻セレブ」などの商品がある、王子製紙グループのメーカーが展開している衛生用紙製品のブランド名は何でしょう？,ネピア,ネピア,0
497,テニスやゴルフで、四大大会とオリンピックをすべて制覇することを英語で何というでしょう？,ゴールデンスラム,ゴールデンスラム,0
498,ドアが閉まると自動的に鍵がかかる錠のことを、和製英語で「何ロック」というでしょう？,オートロック,オート,0
499,パソコンのフォントで、文字ごとに異なった幅を持つフォントを、「等幅フォント」に対して「何フォント」というでしょう？,プロポーショナルフォント,プロポーショナル,0
500,バラエティ番組『ウッチャンナンチャンのウリナリ!!』から誕生した、『Red Angel』や『Yellow Yellow Happy』などの代表曲がある音楽ユニットは何でしょう？,ポケットビスケッツ,ポケットビスケッツ,0
501,ハワイ王国の国王カラカウアの妃の名前が付けられた、ホノルルマラソンのゴール地点になっているオアフ島の公園は何でしょう？,カピオラニ公園,カピオラニ,0
502,ポーカー、コントラクトブリッジとともに世界三大カードゲームに数えられる、10枚の手札を交換していき「メルド」という組み合わせを作っていくトランプゲームは何でしょう？,ジン・ラミー,ジンラミー,0
503,マシンガン・ダンディ、トラヒゲ、サンデー先生、ドン・ガバチョなどのキャラクターが登場する、NHKで放送された人形劇は何でしょう？,『ひょっこりひょうたん島』,ひょっこりひょうたんじま,0
504,ラインカラーはブルーで、路線記号はIである、目黒駅から西高島平駅を結ぶ都営地下鉄の路線は何でしょう？,三田線,みた,0
505,ルーマニアのヨシフ・イヴァノヴィチが1880年に作曲した、ある川を題材にしたワルツは何でしょう？,『ドナウ川のさざなみ』,ドナウがわのさざなみ,0
506,下部マントルに見られるケイ酸塩ペロブスカイトの名前の由来にもなっている、高圧実験に用いられるアンビル装置を発明した業績により1946年のノーベル物理学賞を受賞したアメリカの物理学者は誰でしょう？,パーシー・ブリッジマン,ブリッジマン,0
507,楽曲のタイトルで、supercellの『うたかた』、大塚愛の『金魚』、DAOKO×米津玄師の『打ち上げ』といえば、後ろに共通して続く言葉は何でしょう？,花火,はなび,0
508,基本的には少ない方が有利になる、バックギャモンにおいて、各コマのゴールまでの距離の合計のことを「何カウント」というでしょう？,ピップカウント,ピップ,0
509,競艇業界や海上自衛隊では救命胴衣の呼び名となっている、パンヤやシェフレラとも呼ばれる落葉高木は何でしょう？,カポック,カポック,0
510,玉入れの公式競技・アジャタで使われる玉を大きく2つに分けると、99個のアジャタボールと、最後に入れなければならない「何ボール」でしょう？,アンカーボール,アンカー,0
511,研ぎすまされた刀が輝くさまをいう言葉で、「抜けば玉散る」に続くのは「何の刃」でしょう？,氷の刃,こおり,0
512,元々は障害競馬のジョッキーとして活動していた、代表作に競馬を題材とした『大穴』『度胸』『本命』などの作品があるイギリスの小説家は誰でしょう？,ディック・フランシス,フランシス,0
513,現在の北極星であるポラリスがある星座は何でしょう？,こぐま座,こぐま,0
514,古代エジプト語とコプト語の間の深い関係を発見した業績でも知られる、ロゼッタ・ストーンとオベリスクの銘文を比較してヒエログリフの解読に成功したフランスの考古学者は誰でしょう？,フランソワ・シャンポリオン,シャンポリオン,0
515,鉱物のコランダムを構成する2種類の元素とは、アルミニウムと何でしょう？,酸素,さんそ,0
516,国税庁が公表しており、相続税や固定資産税を算定する際の基準として用いられる、道路に面する宅地1平方メートル当たりの値段を何というでしょう？,路線価,ろせんか,0
517,昭和初期に浜村温泉の宣伝歌として広まった、ホタテガイ漁の時に歌われた労働歌が元になっている、鳥取県民謡は何でしょう？,『貝殻節』,かいがらぶし,0
518,大規模な災害や事故の発生直後に現地に急行し、発災48時間程度を目安に救命活動や地域医療支援などを行う、日本語では「災害派遣医療チーム」などと訳されるチームのことを、アルファベット4文字の略称で何というでしょう？,DMAT,DMAT,0
519,大阪府にある誉田御廟山古墳がその陵墓とされる、全国各地の「八幡宮」の祭神として祀られている第15代天皇は誰でしょう？,応神天皇,おうじん,0
520,第1回大会は2013年にぐんま総合情報センター「ぐんまちゃん家」で開催された、毎年行われている上毛かるたの全国大会の名称は「KING OF 何」でしょう？,KING OF JMK,JMK,0
521,著書に『超大国日本の挑戦』などがあり、キューブリック監督の映画『博士の異常な愛情』の主人公のモデルになったことでも知られる、アメリカの未来学者は誰でしょう？,ハーマン・カーン,カーン,0
522,突然の幻聴や幻覚に遭遇した人物が、恐怖を感じて手を耳に当て、懸命に不安と戦っている様子が描かれているとされる、ノルウェーの画家ムンクの代表作は何でしょう？,『叫び』,さけび,0
523,日本のセルフガソリンスタンドの給油ノズルのうち、レギュラーガソリンのノズルの色は省令により何色と定められているでしょう？,赤,あか,0
524,日本のレンタカーのナンバープレートに使われる2つのひらがなとは、わと何でしょう？,れ,れ,0
525,日本語では「桝形道路」といい、自動車免許の技能試験の課題ともなっている、道幅の狭い直角カーブを2つ繋げた形の道路のことを英語で何というでしょう？,クランク,クランク,0
526,日本国憲法で、「国会は、国権の最高機関であつて、国の唯一の立法機関である。」とされているのは第何条でしょう？,第41条,41,0
527,農業、化学、数学、医学、物理学、芸術の6部門からなり、多くの受賞者がのちにノーベル賞を受賞していることからノーベル賞の前哨戦とも称される、イスラエルの財団が授与する国際的な賞は「何賞」でしょう？,ウルフ賞,ウルフ,0
528,不純物半導体のうち、電気伝導を担う多数キャリアが自由電子であるものを、アルファベット1文字を使って「何型半導体」というでしょう？,N型半導体,N,0
529,別名を「反切表」という、縦方向に子音、横方向に母音が配置されているハングルの表のことを、日本語における「あかさたな」に当たる表現を用いて何表というでしょう？,カナダラ表,カナダラ,0
530,本場であるキューバでは「イエルバ・ブエナ」と呼ばれるハーブが使用される、ミントやライムなどを入れたグラスにラムやソーダを加えて作られるカクテルを何というでしょう？,モヒート,モヒート,0
531,野球の変化球「ナックルボール」を考案したとされるアメリカの元野球選手で、1919年に起きた野球賭博「ブラックソックス事件」に関わったとしてMLBからの永久追放処分を受けたのは誰でしょう？,エディ・シーコット,シーコット,0
532,有権者から無作為に選ばれた11人で構成される、日本で検察による不当な不起訴処分などを抑制するために設けられている機関は何でしょう？,検察審査会,けんさつしんさかい,0
533,列車や飛行機などの座席において、通路側に設置されているものを、窓側に設置されている「ウィンドウシート」に対して「何シート」というでしょう？,アイルシート,アイル,0
534,腕を大きく8の字のように動かして投げることからその名が付いた、ソフトボールにおける投法の1つは何でしょう？,エイトフィギュア,エイトフィギュア,0
535,「大当たり」といった意味の言葉としても使われる、1から75までの数字を抽選で選んでいき、参加者の手元にある数字が書かれたカードの縦・横・斜めのいずれか1列を早く消した人が勝ちとなるゲームは何でしょう？,ビンゴ,ビンゴ,0
536,「朝目がさめて真っ先に思い浮かぶ君のこと」という歌い出しで始まる、乙女の熱く切ない恋心を初音ミクが歌うボカロ曲は何でしょう？,『メルト』,メルト,0
537,1926年に沢柳政太郎が初代学長となり設立された、仏教学部など6学部を擁する東京都豊島区西巣鴨に本部を置く私立大学はどこでしょう？,大正大学,たいしょう,0
538,1937年に日本初のプラネタリウムが設置された都市はどこでしょう？,大阪市,おおさか,0
539,1964年に創刊され、佐々木マキ、花輪和一、蛭子能収らの漫画家デビュー作が掲載された、青林堂が刊行していた漫画雑誌は『月刊漫画 何』でしょう？,『月刊漫画ガロ』,ガロ,0
540,1971年に合意されたスミソニアン協定において、日本円とアメリカドルの交換レートは1ドル何円となったでしょう？,308円,308,0
541,1つ1つの粒が小さい、さらさらした雪のことを、ある医薬品の名前を用いて「何スノー」というでしょう？,アスピリンスノー,アスピリン,0
542,2011年に「ミスマガジン」のグランプリを受賞し、2019年3月までは乃木坂46の1期生として活動していた、「みさみさ」の愛称を持つタレントは誰でしょう？,衛藤美彩,えとうみさ,0
543,JRグループのうち、山陽新幹線の全線と北陸新幹線の一部を運営している会社といえば「JR何」でしょう？,JR西日本,にしにほん,0
544,ULTIMATE MC BATTLEにおいて史上初の3連覇を果たすなどMCバトルの大会で数多くの戦績を残している、HIP-HOPユニット「Creepy Nuts」のMCは誰でしょう？,R-指定,Rしてい,0
545,アンケートでよく用いられる「非常に同意できる」から「まったく同意できない」までの選択肢からどの程度同意できるかを選ばせる回答尺度のことを、アメリカの社会心理学者の名前から「何尺度」というでしょう？,リッカート尺度,リッカート,0
546,イギリス人のフィル・ショウが自宅の裏庭で行ったことを起源とする、危険な場所や本来の目的とかけ離れた状況で衣服にアイロンを掛けるスポーツを英語で何というでしょう？,エクストリーム・アイロニング,エクストリームアイロニング,0
547,キャッチフレーズは「パチンコで、いい笑顔。」である、パチンコの大当たりを意味する「フィーバー」の登録商標を持っているメーカーは何でしょう？,三共,さんきょう,0
548,ケニアで人間に育てられたメスライオンを記録した、1960年に刊行されたジョイ・アダムソンによるノンフィクション作品は何でしょう？,『野生のエルザ』,やせいのエルザ,0
549,これまでにドイツでオリンピックが開催された3つの都市とは、ベルリン、ミュンヘンとあと1つはどこでしょう？,ガルミッシュ＝パルテンキルヒェン,ガルミッシュパルテンキルヒェン,0
550,これまでにフィールズ賞を受賞している3人の日本人とは小平邦彦、広中平祐と誰でしょう？,森重文,もりしげふみ,0
551,これを圧搾して作られる油は、酸敗のおそれが少ないことからマーガリンやミルク添加物の原料油脂としてよく用いられる、ココヤシの果実の胚乳を乾燥させたもののことを何というでしょう？,コプラ,コプラ,0
552,シャウプ勧告に基づく1951年の税制改革によって採用された、所得税や法人税などの納税において複式簿記による記帳に基づいて行われる申告方式のことを、ある色を用いて何色申告というでしょう？,青色申告,あお,0
553,ジョディ・フォスターがアカデミー主演女優賞を受賞した2つの映画作品とは、『告発の行方』と何でしょう？,『羊たちの沈黙』,ひつじたちのちんもく,0
554,スワヒリ語で「災いを信じよ」という意味がある、東京ディズニーシーのアトラクション「タワー・オブ・テラー」の物語のキーとなる呪いの偶像の名前は何でしょう？,シリキ・ウトゥンドゥ,シリキウトゥンドゥ,0
555,とんねるずや関ジャニ∞が出演したテレビCMもおなじみで、「グリーンアップル」や「グレープ」が定番フレーバーとなっている、森永製菓が販売するチューイングソフトキャンディは何でしょう？,ハイチュウ,ハイチュウ,0
556,パーセントバルーン、ブレインタワー、ファイブボンバーなどのステージにチームで挑戦するという内容で、フジテレビ系列で放送されている、ネプチューンらがレギュラー出演するクイズ番組は何でしょう？,『ネプリーグ』,ネプリーグ,0
